University,Course,Date,Time,Sem,QPCode,SubjectName
Karnataka State Law University,3 YearLLB(OB),26.03.2021,9.30 a.m. -12.30 p.m.,First Semester,101,Contract1 
Karnataka State Law University,3 YearLLB(OB),30.03.2021,9.30 a.m. -12.30 p.m.,First Semester,102,Constitution
Karnataka State Law University,3 YearLLB(OB),03.04.2021,9.30 a.m. -12.30 p.m.,First Semester,103,Law of Torts
Karnataka State Law University,3 YearLLB(OB),07.04.2021,9.30 a.m. -12.30 p.m.,First Semester,104,Family Law - I Hindu Law
Karnataka State Law University,3 YearLLB(OB),10.04.2021,9.30 a.m. -12.30 p.m.,First Semester,105,Criminal Law - I : Indian Penal Code
Karnataka State Law University,3 YearLLB(NB),26.03.2021,9.30 a.m. -12.30 p.m.,First Semester,2041,Contract - I
Karnataka State Law University,3 YearLLB(NB),30.03.2021,9.30 a.m. -12.30 p.m.,First Semester,2042,Constitution
Karnataka State Law University,3 YearLLB(NB),03.04.2021,9.30 a.m. -12.30 p.m.,First Semester,2043,Law of Torts
Karnataka State Law University,3 YearLLB(NB),07.04.2021,9.30 a.m. -12.30 p.m.,First Semester,2044,Family Law - I Hindu Law
Karnataka State Law University,3 YearLLB(NB),10.04.2021,9.30 a.m. -12.30 p.m.,First Semester,2045,Criminal Law - I : Indian Penal Code
Karnataka State Law University,3 Year LL.B.(OB),29.03.2021,2.00 p.m.- 5.00 p.m.,Second Semester,201,Contract - II
Karnataka State Law University,3 Year LL.B.(OB),01.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,202,Company Law
Karnataka State Law University,3 Year LL.B.(OB),06.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,203,Property Law
Karnataka State Law University,3 Year LL.B.(OB),09.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,204,Administrative Law
Karnataka State Law University,3 Year LL.B.(OB),12.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,205,Family Law-II Mohd. Law & Indian Succession Law
Karnataka State Law University,3 Year LL.B.(NB),29.03.2021,2.00 p.m.- 5.00 p.m.,Second Semester,2046,Contract - II
Karnataka State Law University,3 Year LL.B.(NB),01.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,2047,Company Law
Karnataka State Law University,3 Year LL.B.(NB),06.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,2048,Property Law
Karnataka State Law University,3 Year LL.B.(NB),09.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,2049,Administrative Law
Karnataka State Law University,3 Year LL.B.(NB),12.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,2050,Family Law-II Mohd. Law & Indian Succession Law
Karnataka State Law University,3 Year LL.B. (OB),27.03.2021,9.30 a.m. -12.30 p.m.,Third Semester,301,Environmental Law
Karnataka State Law University,3 Year LL.B. (OB),31.03.2021,9.30 a.m. -12.30 p.m.,Third Semester,302,Labour Law
Karnataka State Law University,3 Year LL.B. (OB),05.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,303,"Criminal Law - II : Cr.P.C, JJ Act & P.O Act"
Karnataka State Law University,3 Year LL.B. (OB),08.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,304,Jurisprudence
Karnataka State Law University,3 Year LL.B. (OB),12.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,305,Clinical Course - I : Profnl.Ethics & Profnl.Acct.Sys.
Karnataka State Law University,3 Year LL.B. (NB),30.03.2021,2.00 p.m.- 5.00 p.m.,Third Semester,2053,Law of Taxation
Karnataka State Law University,3 Year LL.B. (NB),31.03.2021,2.00 p.m.- 5.00 p.m.,Third Semester,2052,Labour Law
Karnataka State Law University,3 Year LL.B. (NB),05.04.2021,2.00 p.m.- 5.00 p.m.,Third Semester,2054,"Criminal Law - II : Cr.P.C, JJ Act & P.O Act"
Karnataka State Law University,3 Year LL.B. (NB),08.04.2021,2.00 p.m.- 5.00 p.m.,Third Semester,2051,Jurisprudence
Karnataka State Law University,3 Year LL.B. (OB),27.03.2021,2.00 p.m.- 5.00 p.m.,Fourth Semester,401,Public International  Law
Karnataka State Law University,3 Year LL.B. (OB),31.03.2021,2.00 p.m.- 5.00 p.m.,Fourth Semester,402,OPT-I: Human Rights Law and Practice
Karnataka State Law University,3 Year LL.B. (OB),31.03.2021,2.00 p.m.- 5.00 p.m.,Fourth Semester,403,OPT-I: Insurance Law
Karnataka State Law University,3 Year LL.B. (OB),05.04.2021,2.00 p.m.- 5.00 p.m.,Fourth Semester,404,OPT-II: Banking Law
Karnataka State Law University,3 Year LL.B. (OB),05.04.2021,2.00 p.m.- 5.00 p.m.,Fourth Semester,405,OPT-II: Right to Information
Karnataka State Law University,3 Year LL.B. (OB),08.04.2021,2.00 p.m.- 5.00 p.m.,Fourth Semester,416,Clinical Course - II: Alternate Dispute Resolution Systems
Karnataka State Law University,3 Year LL.B. (NB),27.03.2021,2.00 p.m.- 5.00 p.m.,Fourth Semester,2056,Public International  Law
